date,time,CO,O3,NO2,SO2 ,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
170114,400,0.4,7,13,-,-,49,27,268,0.5,
170114,500,0.5,6,18,-,-,49,26.9,203,0.5,
170114,600,0.8,5,27,-,-,48,26.8,351,0.5,
170114,700,0.6,4,25,-,-,48,26.8,351,0.5,
170114,800,0.6,1,26,-,-,47,26.8,312,0.5,
170114,900,0.7,3,31,-,-,43,27.2,292,1.2,
170114,1000,0.8,7,39,-,-,42,28.6,5,0.5,
170114,1100,0.6,7,37,-,-,41,30.4,256,0.5,
170114,1200,0.7,14,46,-,-,41,32,134,0.8,
170114,1300,0.6,34,42,-,-,40,32.7,303,1.1,
170114,1400,0.5,47,39,-,-,40,32.8,222,0.9,
170114,1500,0.5,50,34,-,-,40,33.3,313,0.6,
170114,1600,0.4,59,30,-,-,40,33.6,294,0.6,
170114,1700,0.6,49,58,-,-,41,32.6,320,0.6,
170114,1800,0.5,54,28,-,-,41,31.8,181,0.5,
170114,1900,0.8,33,45,-,-,41,31.2,176,0.5,
170114,2000,0.6,30,35,-,-,41,30.5,289,0.5,
170114,2100,0.6,16,47,-,-,42,30,338,0.5,
170114,2200,0.8,7,56,-,-,41,30.1,149,0.5,
170114,2300,0.9,13,42,-,-,42,30,50,0.5,
170114,2400,0.8,20,39,-,-,42,29.9,30,0.6,
170115,100,0.6,26,25,-,-,42,29.2,21,0.5,
170115,200,0.7,21,30,-,-,42,29.1,148,0.5,
170115,300,0.8,17,32,-,-,42,28.8,175,0.5,
170115,400,0.8,18,28,-,-,42,28.6,153,0.5,
170115,500,0.7,20,24,-,-,43,28.4,273,0.5,
170115,600,0.5,17,20,-,-,44,28.2,282,0.5,
170115,700,0.7,9,36,-,-,44,28.2,13,0.5,
170115,800,0.8,3,42,-,-,44,28.2,290,0.5,
170115,900,1,3,37,-,-,43,28.6,138,0.5,
170115,1000,1,9,39,-,-,41,30.4,90,0.8,
170115,1100,0.7,20,31,-,-,41,31.8,337,0.9,
170115,1200,0.7,35,35,-,-,40,32.8,342,0.7,
170115,1300,0.7,54,29,-,-,40,32.6,343,1,
170115,1400,0.7,52,42,-,-,41,31.8,293,1.5,
170115,1500,0.5,60,26,-,-,40,32.6,278,1.7,
170115,1600,0.6,57,34,-,-,41,32.2,276,1.8,
170115,1700,0.6,55,45,-,-,41,32,238,0.9,
170115,1800,0.7,58,39,-,-,41,31.5,14,0.5,
170115,1900,0.8,69,37,-,-,41,30.9,303,0.5,
170115,2000,0.9,61,32,-,-,41,30.3,310,0.5,
170115,2100,0.9,29,38,-,-,41,30.3,300,0.5,
170115,2200,1,9,50,-,-,41,30.2,349,0.6,
170115,2300,0.9,13,49,-,-,41,30.8,179,1.2,
170115,2400,0.7,19,39,-,-,41,30.5,28,0.9,
170116,100,0.6,13,45,-,-,41,30.2,22,1,
170116,200,0.7,10,40,-,-,41,29.6,198,0.7,
170116,300,0.8,4,40,-,-,41,28.6,312,0.6,
170116,400,0.7,7,33,-,-,42,28.2,304,1.4,
170116,500,0.7,6,29,-,-,42,27.7,61,0.7,
170116,600,0.8,3,33,-,-,42,27.3,120,0.8,
170116,700,1,2,34,-,-,42,27,13,0.5,
170116,800,0.9,2,29,-,-,42,27.2,280,0.9,
170116,900,0.8,4,26,-,-,42,28.2,63,1.5,
